"prod_id","prod_codigo","prod_nombre","prod_descripcion","precio_venta","med_id","precio_unitario","medida_unitario","cantidad_paquete","imagen_nombre","cat_id","prod_estado"
"18","ART06823","KIT CASA MELASMA VERDE","FOTODINAMICA","420.00","1","420.00","1","420.00",NULL,"1","1"
"19","ART06824","KIT CASA  ACNE AZUL","FOTODINAMICA","370.00","1","370.00","1","1.00",NULL,"1","1"
"20","ART06825","KIT CASA REJUVENECIMIENTO ROJO","FOTODINAMICA","370.00","1","370.00","1","1.00",NULL,"1","1"
"21","ART06822","KIT CASA ROSACEA  AMARILLA	","FOTODINAMICA	","370.00","1","370.00","1","1.00",NULL,"1","1"
"22","ART06275","LOCERYL 5%SOL LACA PARA UÑAS 2.5ML	","GALDERMA	","210.00","7","210.00","7","1.00",NULL,"1","1"
"23","ART06984","FORMULA 3: TRI L","GALDERMA	","209.00","1","209.00","1","1.00",NULL,"1","1"
"24","ART06311","HYALU B5 SERUM 30ML","LA ROCHE P	FRASCO	 S/207.00 ","207.00","9","207.00","9","1.00",NULL,"1","1"
"25","ART06317","PURE  VITANIM C 10 SERUM ANTIRRUGAS 30ML	","LA ROCHE P	","199.00","9","1.00","9","1.00",NULL,"1","1"
"26","ART06274","CLOB-X 0.05% SHAMPOO125ML	","GALDERMA	","193.00","1","1.00","1","1.00",NULL,"1","1"
"27","ART06875","FISSERUM HYALURONIC 100, 30 ML	","FISSIONLAB","176.00","7","1.00","7","1.00",NULL,"1","1"
"28","ART06874","FISSERUM VITAMIN C 15 COMPLEX, B, E & FERULIC 20, 30 ML	","FISSIONLAB	","176.00","1","176.00","1","1.00",NULL,"1","1"
"29","ART07058","FISSERUM ANTI - IMPERFECTIONS MULTI ACTION PHYTO BOTANICAL BLEND 30 ML","FISSIONLAB	","170.00","1","170.00","1","1.00",NULL,"1","1"
"30","ART06876","FISSERUM NIGTH RETINOL 3 COMPLEX, SQUALANE, HYALURONIC, 30ML	","FISSIONLAB	","170.00","1","170.00","1","1.00",NULL,"1","1"
"31","ART07057","FISSERUM PURE NIACINAMIDE 10+ AZELAIC & TRANEXAMIC ACID BOTANIC COMPPLEX 30 ML	","FISSIONLAB	","170.00","1","170.00","1","1.00",NULL,"1","1"
"32","ART06985","FISSOZONO CREMA  ANTIEDAD DIA 50 ML	","FISSIONLAB	","170.00","1","170.00","1","1.00",NULL,"1","1"
"33","ART06986","FISSOZONO CREMA  ANTIEDAD NOCHE 50 ML","FISSIONLAB	","170.00","1","170.00","1","1.00",NULL,"1","1"
"34","ART06798","PHOTODERM AQUAFLUIDE DORE TE40ML","BIODERMA","166.00","1","166.00","1","1.00",NULL,"1","1"
"35","ART06830","PHOTODERM COVER TOUCH FL DOREE 50 + T 40GR	","BIODERMA	","157.00","1","157.00","1","1.00",NULL,"1","1"
"36","ART07022","TRANACIX	","MEDSTYLE	","155.00","1","155.00","1","1.00",NULL,"1","1"
"37","ART06285","SOOLANTRA 1%CREMA 30GR  (IVERMECTINA )	","GALDERMA	CREMA TUBO	","154.00","1","154.00","1","1.00",NULL,"1","1"
